name,category,ingredients,ingredients_str,label,no_numbers_units,processed_ingredients
Beef and Mustard Pie,Beef,"['1kg Beef', '2 tbs Plain Flour', '2 tbs Rapeseed Oil', '200ml Red Wine', '400ml Beef Stock', '1 finely sliced Onion', '2 chopped Carrots', '3 sprigs Thyme', '2 tbs Mustard', '2 free-range Egg Yolks', '400g Puff Pastry', '300g Green Beans', '25g Butter', 'pinch Salt', 'pinch Pepper']",1kg Beef | 2 tbs Plain Flour | 2 tbs Rapeseed Oil | 200ml Red Wine | 400ml Beef Stock | 1 finely sliced Onion | 2 chopped Carrots | 3 sprigs Thyme | 2 tbs Mustard | 2 free-range Egg Yolks | 400g Puff Pastry | 300g Green Beans | 25g Butter | pinch Salt | pinch Pepper,Meat, beef |  plain flour |  rapeseed oil |  red wine |  beef stock |  finely sliced onion |  carrots |  sprigs thyme |  mustard |  free-range egg yolks |  puff pastry |  green beans |  butter | pinch salt | pinch pepper,beef plain flour rapese oil red wine beef stock fine slice onion carrot sprig thyme mustard free rang egg yolk puff pastri green bean butter pinch salt pinch pepper
Beef and Oyster pie,Beef,"['900g Beef', '3 tbs Olive Oil', '3 Shallots', '2 cloves minced Garlic', '125g Bacon', '1 tbs chopped Thyme', '2 Bay Leaf', '330ml Stout', '400ml Beef Stock', '2 tbs Corn Flour', '8 Oysters', '400g Plain Flour', 'pinch Salt', '250g Butter', 'To Glaze Eggs']",900g Beef | 3 tbs Olive Oil | 3 Shallots | 2 cloves minced Garlic | 125g Bacon | 1 tbs chopped Thyme | 2 Bay Leaf | 330ml Stout | 400ml Beef Stock | 2 tbs Corn Flour | 8 Oysters | 400g Plain Flour | pinch Salt | 250g Butter | To Glaze Eggs,Meat, beef |  olive oil |  shallots |  cloves minced garlic |  bacon |  chopped thyme |  bay leaf |  stout |  beef stock |  corn flour |  oysters |  plain flour | pinch salt |  butter | to glaze eggs,beef oliv oil shallot clove minc garlic bacon chop thyme bay leaf stout beef stock corn flour oyster plain flour pinch salt butter glaze egg
Beef Asado,Beef,"['1.5kg Beef', '1 Beef Stock Concentrate', '8 ounces Tomato Puree', '3 cups Water', '6 tablespoons Soy Sauce', '1 tbs White Wine Vinegar', '2 tbs Pepper', '4 Bay Leaf', '1/2 Lemon', '2 tbs Tomato Sauce', '3 tbs Butter', '1/2 cup Olive Oil', '1 chopped Onion', '4 cloves Garlic']",1.5kg Beef | 1 Beef Stock Concentrate | 8 ounces Tomato Puree | 3 cups Water | 6 tablespoons Soy Sauce | 1 tbs White Wine Vinegar | 2 tbs Pepper | 4 Bay Leaf | 1/2 Lemon | 2 tbs Tomato Sauce | 3 tbs Butter | 1/2 cup Olive Oil | 1 chopped Onion | 4 cloves Garlic,Meat,. beef |  beef stock concentrate |  tomato puree |  water |  soy sauce |  white wine vinegar |  pepper |  bay leaf | / lemon |  tomato sauce |  butter |  olive oil |  onion |  cloves garlic,beef beef stock concentr tomato pure water soy sauc white wine vinegar pepper bay leaf lemon tomato sauc butter oliv oil onion clove garlic
"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",Beef,"['White Rice', '1 Onion', '1 Lime', '3 Garlic Clove', '1 Cucumber', '3 oz Carrots', '1 lb Ground Beef', '2 oz Soy Sauce']",White Rice | 1 Onion | 1 Lime | 3 Garlic Clove | 1 Cucumber | 3 oz Carrots | 1 lb Ground Beef | 2 oz Soy Sauce,Meat,white rice |  onion |  lime |  garlic clove |  cucumber |  carrots |  ground beef |  soy sauce,white rice onion lime garlic clove cucumb carrot ground beef soy sauc
Beef Bourguignon,Beef,"['3 tsp Goose Fat', '600g Beef Shin', '100g Bacon', '350g Challots', '250g Chestnut Mushroom', '2 sliced Garlic Clove', '1 Bouquet Garni', '1 tbs Tomato Puree', '750 ml Red Wine', '600g Celeriac', '2 tbs Olive Oil', 'sprigs of fresh Thyme', 'sprigs of fresh Rosemary', '2 Bay Leaf', '4 Cardamom']",3 tsp Goose Fat | 600g Beef Shin | 100g Bacon | 350g Challots | 250g Chestnut Mushroom | 2 sliced Garlic Clove | 1 Bouquet Garni | 1 tbs Tomato Puree | 750 ml Red Wine | 600g Celeriac | 2 tbs Olive Oil | sprigs of fresh Thyme | sprigs of fresh Rosemary | 2 Bay Leaf | 4 Cardamom,Meat, goose fat |  beef shin |  bacon |  challots |  chestnut mushroom |  sliced garlic clove |  bouquet garni |  tomato puree |  red wine |  celeriac |  olive oil | sprigs of fresh thyme | sprigs of fresh rosemary |  bay leaf |  cardamom,goos fat beef shin bacon challot chestnut mushroom slice garlic clove bouquet garni tomato pure red wine celeriac oliv oil sprig fresh thyme sprig fresh rosemari bay leaf cardamom
Beef Brisket Pot Roast,Beef,"['4-5 pound Beef Brisket', 'Dash Salt', '3 Onion', '5 cloves Garlic', '1 Sprig Thyme', '1 sprig Rosemary', '4 Bay Leaves', '2 cups beef stock', '3 Large Carrots', '1 Tbsp Mustard', '4 Mashed Potatoes']",4-5 pound Beef Brisket | Dash Salt | 3 Onion | 5 cloves Garlic | 1 Sprig Thyme | 1 sprig Rosemary | 4 Bay Leaves | 2 cups beef stock | 3 Large Carrots | 1 Tbsp Mustard | 4 Mashed Potatoes,Meat,- beef brisket | dash salt |  onion |  cloves garlic |  sprig thyme |  sprig rosemary |  bay leaves |  beef stock |  large carrots |  mustard |  mashed potatoes,beef brisket dash salt onion clove garlic sprig thyme sprig rosemari bay leav beef stock larg carrot mustard mash potato
Beef Caldereta,Beef,"['2kg cut cubes Beef', '1 Beef Stock', '1 tbs Soy Sauce', '2 cups Water', '1 sliced Green Pepper', '1 sliced Red Pepper', '1 sliced Potatoes', '1 sliced Carrots', '8 ounces Tomato Puree', '3  tablespoons Peanut Butter', '5 Chilli Powder', '1 chopped Onion', '5 cloves Garlic', '3 tbs Olive Oil']",2kg cut cubes Beef | 1 Beef Stock | 1 tbs Soy Sauce | 2 cups Water | 1 sliced Green Pepper | 1 sliced Red Pepper | 1 sliced Potatoes | 1 sliced Carrots | 8 ounces Tomato Puree | 3  tablespoons Peanut Butter | 5 Chilli Powder | 1 chopped Onion | 5 cloves Garlic | 3 tbs Olive Oil,Meat, cut cubes beef |  beef stock |  soy sauce |  water |  sliced green pepper |  sliced red pepper |  sliced potatoes |  sliced carrots |  tomato puree |   tablespoons peanut butter |  chilli powder |  onion |  cloves garlic |  olive oil,cut cube beef beef stock soy sauc water slice green pepper slice red pepper slice potato slice carrot tomato pure tablespoon peanut butter chilli powder onion clove garlic oliv oil
Beef Dumpling Stew,Beef,"['2 tbs Olive Oil', '25g Butter', '750g Beef', '2 tblsp Plain Flour', '2 cloves minced Garlic', '175g Onions', '150g Celery', '150g Carrots', '2 chopped Leek', '200g Swede', '150ml Red Wine', '500g Beef Stock', '2 Bay Leaf', '3 tbs Thyme', '3 tblsp chopped Parsley', '125g Plain Flour', '1 tsp Baking Powder', '60g Suet', 'Splash Water']",2 tbs Olive Oil | 25g Butter | 750g Beef | 2 tblsp Plain Flour | 2 cloves minced Garlic | 175g Onions | 150g Celery | 150g Carrots | 2 chopped Leek | 200g Swede | 150ml Red Wine | 500g Beef Stock | 2 Bay Leaf | 3 tbs Thyme | 3 tblsp chopped Parsley | 125g Plain Flour | 1 tsp Baking Powder | 60g Suet | Splash Water,Meat, olive oil |  butter |  beef |  plain flour |  cloves minced garlic |  onions |  celery |  carrots |  leek |  swede |  red wine |  beef stock |  bay leaf |  thyme |  chopped parsley |  plain flour |  baking powder |  suet | splash water,oliv oil butter beef plain flour clove minc garlic onion celeri carrot leek swede red wine beef stock bay leaf thyme chop parsley plain flour bake powder suet splash water
Beef Lo Mein,Beef,"['1/2 lb Beef', 'pinch Salt', 'pinch Pepper', '2 tsp Sesame Seed Oil', '1/2 Egg', '3 tbs Starch', '5 tbs Oil', '1/4 lb Noodles', '1/2 cup Onion', '1 tsp Minced Garlic', '1 tsp Ginger', '1 cup Bean Sprouts', '1 cup Mushrooms', '1 cup Water', '1 tbs Oyster Sauce', '1 tsp Sugar', '1 tsp Soy Sauce']",1/2 lb Beef | pinch Salt | pinch Pepper | 2 tsp Sesame Seed Oil | 1/2 Egg | 3 tbs Starch | 5 tbs Oil | 1/4 lb Noodles | 1/2 cup Onion | 1 tsp Minced Garlic | 1 tsp Ginger | 1 cup Bean Sprouts | 1 cup Mushrooms | 1 cup Water | 1 tbs Oyster Sauce | 1 tsp Sugar | 1 tsp Soy Sauce,Meat, beef | pinch salt | pinch pepper |  sesame seed oil | / egg |  starch |  oil |  noodles |  onion |  minced garlic |  ginger |  bean sprouts |  mushrooms |  water |  oyster sauce |  sugar |  soy sauce,beef pinch salt pinch pepper sesam seed oil egg starch oil noodl onion minc garlic ginger bean sprout mushroom water oyster sauc sugar soy sauc
Beef Mechado,Beef,"['3 cloves Garlic', '1 sliced Onion', '2 Lbs Beef', '8 ounces Tomato Puree', '1 cup Water', '3 tbs Olive Oil', '1 Slice Lemon', '1 large Potatoes', '1/4 cup Soy Sauce', '1/2 tsp Black Pepper', '2 Bay Leaves', 'To taste Salt']",3 cloves Garlic | 1 sliced Onion | 2 Lbs Beef | 8 ounces Tomato Puree | 1 cup Water | 3 tbs Olive Oil | 1 Slice Lemon | 1 large Potatoes | 1/4 cup Soy Sauce | 1/2 tsp Black Pepper | 2 Bay Leaves | To taste Salt,Meat, cloves garlic |  sliced onion |  lbs beef |  tomato puree |  water |  olive oil |  lemon |  large potatoes |  soy sauce |  black pepper |  bay leaves | to taste salt,clove garlic slice onion lb beef tomato pure water oliv oil lemon larg potato soy sauc black pepper bay leav tast salt
Beef Rendang,Beef,"['1lb Beef', '5 tbs Vegetable Oil', '1 Cinnamon Stick', '3 Cloves', '3 Star Anise', '3 Cardamom', '1 cup Coconut Cream', '1 cup Water', '2 tbs Tamarind Paste', '6 Lime', '1 tbs Sugar', '5 Challots']",1lb Beef | 5 tbs Vegetable Oil | 1 Cinnamon Stick | 3 Cloves | 3 Star Anise | 3 Cardamom | 1 cup Coconut Cream | 1 cup Water | 2 tbs Tamarind Paste | 6 Lime | 1 tbs Sugar | 5 Challots,Meat, beef |  vegetable oil |  cinnamon stick |  cloves |  star anise |  cardamom |  coconut cream |  water |  tamarind paste |  lime |  sugar |  challots,beef veget oil cinnamon stick clove star anis cardamom coconut cream water tamarind past lime sugar challot
Beef stroganoff,Beef,"['1 tbls Olive Oil', '1 Onions', '1 clove Garlic', '1 tbsp Butter', '250g Mushrooms', '500g Beef Fillet', '1tbsp Plain Flour', '150g Creme Fraiche', '1 tbsp English Mustard', '100ml Beef Stock', 'Topping Parsley']",1 tbls Olive Oil | 1 Onions | 1 clove Garlic | 1 tbsp Butter | 250g Mushrooms | 500g Beef Fillet | 1tbsp Plain Flour | 150g Creme Fraiche | 1 tbsp English Mustard | 100ml Beef Stock | Topping Parsley,Meat, tbls olive oil |  onions |  clove garlic |  butter |  mushrooms |  beef fillet |  plain flour |  creme fraiche |  english mustard |  beef stock | topping parsley,tbl oliv oil onion clove garlic butter mushroom beef fillet plain flour creme fraich english mustard beef stock top parsley
Beef Sunday Roast,Beef,"['8 slices Beef', '12 florets Broccoli', '1 Packet Potatoes', '1 Packet Carrots', '140g plain flour', '4 Eggs', '200ml milk', 'drizzle (for cooking) sunflower oil']",8 slices Beef | 12 florets Broccoli | 1 Packet Potatoes | 1 Packet Carrots | 140g plain flour | 4 Eggs | 200ml milk | drizzle (for cooking) sunflower oil,Meat, beef |  florets broccoli |  packet potatoes |  packet carrots |  plain flour |  eggs |  milk | drizzle (for cooking) sunflower oil,beef floret broccoli packet potato packet carrot plain flour egg milk drizzl cook sunflow oil
Beef Wellington,Beef,"['400g mushrooms', '1-2tbsp English Mustard', 'Dash Olive Oil', '750g piece Beef Fillet', '6-8 slices Parma ham', '500g Puff Pastry', 'Dusting Flour', '2 Beaten Egg Yolks']",400g mushrooms | 1-2tbsp English Mustard | Dash Olive Oil | 750g piece Beef Fillet | 6-8 slices Parma ham | 500g Puff Pastry | Dusting Flour | 2 Beaten Egg Yolks,Meat, mushrooms | - english mustard | dash olive oil |  piece beef fillet | - parma ham |  puff pastry | dusting flour |  beaten egg yolks,mushroom english mustard dash oliv oil piec beef fillet parma ham puff pastri dust flour beaten egg yolk
Big Mac,Beef,"['400g Minced Beef', '2 tbs Olive Oil', '2 Sesame Seed Burger Buns', 'Chopped Onion', '1/4 Iceberg Lettuce', '2 sliced Cheese', '2 large Dill Pickles', '1 cup Mayonnaise', '2 tsp White Wine Vinegar', 'Pinch Pepper', '2 tsp Mustard', '1 1/2 tsp Onion Salt', '1 1/2 tsp Garlic Powder', '1/2 tsp Paprika']",400g Minced Beef | 2 tbs Olive Oil | 2 Sesame Seed Burger Buns | Chopped Onion | 1/4 Iceberg Lettuce | 2 sliced Cheese | 2 large Dill Pickles | 1 cup Mayonnaise | 2 tsp White Wine Vinegar | Pinch Pepper | 2 tsp Mustard | 1 1/2 tsp Onion Salt | 1 1/2 tsp Garlic Powder | 1/2 tsp Paprika,Meat, minced beef |  olive oil |  sesame seed burger buns | chopped onion | / iceberg lettuce |  sliced cheese |  large dill pickles |  mayonnaise |  white wine vinegar | pinch pepper |  mustard |   onion salt |   garlic powder |  paprika,minc beef oliv oil sesam seed burger bun chop onion iceberg lettuc slice chees larg dill pickl mayonnais white wine vinegar pinch pepper mustard onion salt garlic powder paprika
Bistek,Beef,"['1 lb Beef', '5 tablespoons Soy Sauce', '1 Lemon', '3 cloves Garlic', '3 parts Onion', '4 tbs Olive Oil', '1 cup Water', '1 pinch Salt']",1 lb Beef | 5 tablespoons Soy Sauce | 1 Lemon | 3 cloves Garlic | 3 parts Onion | 4 tbs Olive Oil | 1 cup Water | 1 pinch Salt,Meat, beef |  soy sauce |  lemon |  cloves garlic |  parts onion |  olive oil |  water |  salt,beef soy sauc lemon clove garlic part onion oliv oil water salt
